srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,use1-api.tplinkra.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.1,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,1.1.1.1,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,52.209.43.100,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,52.213.21.82,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,use1-api.tplinkra.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.1,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,1.1.1.1,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,pool.ntp.org,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,52.209.43.100,*,6,443,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,52.213.21.82,*,6,443,*,1001,*,*
