srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
08:00:27:86:05:66,00:31:92:e1:7b:17,0x0800,*,192.168.32.1,*,17,67,*,1400,*,*,2394,7
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,*,192.168.32.1,17,*,67,1400,*,*,2450,7
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,*,pool.ntp.org,17,*,123,1001,*,*,0,0
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,*,1.1.1.1,17,*,53,1001,*,*,153,2
08:00:27:86:05:66,00:31:92:e1:7b:17,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
08:00:27:86:05:66,00:31:92:e1:7b:17,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
08:00:27:86:05:66,00:31:92:e1:7b:17,0x0800,*,*,*,1,*,*,1000,*,*,0,0
00:31:92:e1:7b:17,08:00:27:86:05:66,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:31:92:e1:7b:17,08:00:27:86:05:66,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,*,*,1,*,*,1000,*,*,0,0
08:00:27:86:05:66,00:31:92:e1:7b:17,0x0800,*,*,*,17,123,*,1000,*,*,90,1
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,*,*,17,*,123,1000,*,*,90,1
08:00:27:86:05:66,00:31:92:e1:7b:17,*,*,*,*,17,53,*,1000,*,*,458,3
00:31:92:e1:7b:17,08:00:27:86:05:66,*,*,*,*,17,*,53,1000,*,*,81,1
*,00:31:92:e1:7b:17,0x0806,*,*,*,*,*,*,1000,*,*,1080,18
00:31:92:e1:7b:17,*,0x0806,*,*,*,*,*,*,1000,*,*,1200,20
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,*,use1-api.tplinkra.com,6,*,443,855,*,*,32298,69
08:00:27:86:05:66,00:31:92:e1:7b:17,0x0800,*,34.246.192.193,192.168.32.2,6,443,62949,810,*,*,139,1
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,192.168.32.2,34.246.192.193,6,62949,443,810,*,*,60,1
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,*,*,17,*,*,800,*,*,0,0
00:31:92:e1:7b:17,08:00:27:86:05:66,0x0800,*,*,*,6,*,*,800,*,*,2010,15
08:00:27:86:05:66,00:31:92:e1:7b:17,0x0800,*,use1-api.tplinkra.com,*,6,443,*,750,*,*,33314,82
08:00:27:86:05:66,00:31:92:e1:7b:17,0x0800,*,*,*,17,*,*,700,*,*,0,0
08:00:27:86:05:66,00:31:92:e1:7b:17,0x0800,*,*,*,6,*,*,700,*,*,1954,13
00:31:92:e1:7b:17,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,00:31:92:e1:7b:17,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,00:31:92:e1:7b:17,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,00:31:92:e1:7b:17,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,00:31:92:e1:7b:17,0x0800,*,*,*,6,*,*,600,*,*,0,0
