ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-18 15:15:52.986,2021-11-18 15:17:56.587,123.601,UDP  ,         0.0.0.0, 255.255.255.255,68.000,67.000,0.000,0.000,15.000,0.000,4500.000,0.000,........,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,  I,291.000,0.000,300.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,23.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,1720.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,53.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,445.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,113.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,3389.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,111.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,139.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:15:54.266,2021-11-18 15:15:54.266,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,25.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
