ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-18 16:00:50.177,2021-11-18 16:01:48.637,58.460,UDP  ,         0.0.0.0, 255.255.255.255,68.000,67.000,0.000,0.000,7.000,0.000,2100.000,0.000,........,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,  I,287.000,0.000,300.000,0.000,0.000,0.000
2021-11-18 16:00:50.843,2021-11-18 16:00:52.852,2.009,TCP  ,  192.168.255.14,  192.168.10.206,37302.000,9999.000,0.000,0.000,2.000,3.000,58.000,60.000,...AP..F,25,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,  I,230.000,0.000,29.000,2006.596,1.375,1.190
2021-11-18 16:00:52.851,2021-11-18 16:00:54.969,2.118,TCP  ,  192.168.255.14,  192.168.10.206,37310.000,9999.000,0.000,0.000,4.000,6.000,122.000,124.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,460.000,1.000,30.000,4.791,2.329,1.612
2021-11-18 16:00:54.968,2021-11-18 16:00:57.002,2.034,TCP  ,  192.168.255.14,  192.168.10.206,37312.000,9999.000,0.000,0.000,4.000,6.000,153.000,124.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,601.000,1.000,38.000,4.835,1.732,1.682
2021-11-18 16:00:57.000,2021-11-18 16:00:59.036,2.036,TCP  ,  192.168.255.14,  192.168.10.206,37314.000,9999.000,0.000,0.000,4.000,6.000,107.000,124.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,420.000,1.000,26.000,5.250,2.155,1.786
2021-11-18 16:00:59.046,2021-11-18 16:00:59.219,0.173,TCP  ,  192.168.10.206,  192.168.255.14,9999.000,232.000,0.000,0.000,6.000,5.000,124.000,164.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,5734.000,34.000,20.000,5.231,14.810,1.084
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,3306.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,8080.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,22.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,1025.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,443.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,5900.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,993.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,23.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,110.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:00:59.816,2021-11-18 16:00:59.816,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,587.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,22.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,110.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,3306.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,993.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,443.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,23.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,587.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,8080.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,1025.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:01.819,2021-11-18 16:01:01.819,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,5900.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,143.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,80.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,25.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,1723.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,139.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,554.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,445.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,21.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,53.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:02.820,2021-11-18 16:01:02.820,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52083.000,995.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:03.821,2021-11-18 16:01:03.821,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,21.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:03.821,2021-11-18 16:01:03.821,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,554.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:03.821,2021-11-18 16:01:03.821,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,139.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 16:01:03.821,2021-11-18 16:01:03.821,0.000,TCP  ,  192.168.255.14,  192.168.10.206,52084.000,1723.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
