ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-18 15:18:04.416,2021-11-18 15:18:04.416,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,17988.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.416,2021-11-18 15:18:04.416,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,1013.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.416,2021-11-18 15:18:04.416,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,2241.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.417,2021-11-18 15:18:04.417,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,3050.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.417,2021-11-18 15:18:04.417,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,8015.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.417,2021-11-18 15:18:04.417,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,4649.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.417,2021-11-18 15:18:04.417,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,119.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.417,2021-11-18 15:18:04.417,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,7741.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.417,2021-11-18 15:18:04.417,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,2107.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:04.417,2021-11-18 15:18:04.417,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37604.000,1195.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
2021-11-18 15:18:05.418,2021-11-18 15:18:05.418,0.000,TCP  ,  192.168.255.14,  192.168.10.206,37603.000,23796.000,0.000,0.000,1.000,0.000,24.000,0.000,......S.,2,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,0.000,0.000,24.000,0.000,0.000,0.000
