ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-18 14:30:46.933,2021-11-18 14:30:46.941,0.008,TCP  ,  192.168.255.14,    192.168.32.2,40053.000,80.000,0.000,0.000,1.000,1.000,1112.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,1100000.000,125.000,1112.000,0.000,7.340,0.000
2021-11-18 14:30:46.933,2021-11-18 14:30:46.941,0.008,TCP  ,    192.168.32.2,  192.168.255.14,8080.000,16813.000,0.000,0.000,1.000,1.000,20.000,1112.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,20000.000,125.000,20.000,0.000,7.363,0.000
2021-11-18 14:30:46.933,2021-11-18 14:30:46.937,0.004,TCP  ,  192.168.255.14,    192.168.32.2,64717.000,80.000,0.000,0.000,1.000,1.000,1112.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,2200000.000,250.000,1112.000,0.000,4.314,0.000
2021-11-18 14:30:46.934,2021-11-18 14:30:46.941,0.007,TCP  ,    192.168.32.2,  192.168.255.14,8080.000,12976.000,0.000,0.000,1.000,1.000,20.000,1112.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,22857.000,142.000,20.000,0.000,7.228,0.000
2021-11-18 14:30:46.934,2021-11-18 14:30:46.941,0.007,TCP  ,    192.168.32.2,  192.168.255.14,8080.000,27751.000,0.000,0.000,1.000,1.000,20.000,1112.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,22857.000,142.000,20.000,0.000,7.079,0.000
2021-11-18 14:30:46.934,2021-11-18 14:30:46.943,0.009,TCP  ,  192.168.255.14,    192.168.32.2,52772.000,8080.000,0.000,0.000,1.000,1.000,1112.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,988444.000,111.000,1112.000,0.000,8.778,0.000
2021-11-18 14:30:46.934,2021-11-18 14:30:46.949,0.015,TCP  ,    192.168.32.2,  192.168.255.14,8080.000,17788.000,0.000,0.000,1.000,1.000,20.000,1112.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10666.000,66.000,20.000,0.000,14.460,0.000
2021-11-18 14:30:46.934,2021-11-18 14:30:46.941,0.007,TCP  ,  192.168.255.14,    192.168.32.2,49513.000,80.000,0.000,0.000,1.000,1.000,1112.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,1300000.000,142.000,1112.000,0.000,7.016,0.000
2021-11-18 14:30:46.934,2021-11-18 14:30:46.946,0.012,TCP  ,  192.168.255.14,    192.168.32.2,34227.000,80.000,0.000,0.000,1.000,1.000,1112.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,741333.000,83.000,1112.000,0.000,12.146,0.000
2021-11-18 14:30:46.934,2021-11-18 14:30:46.946,0.012,TCP  ,    192.168.32.2,  192.168.255.14,8080.000,3036.000,0.000,0.000,1.000,1.000,20.000,1112.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,13333.000,83.000,20.000,0.000,12.417,0.000
