ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-18 15:20:47.066,2021-11-18 15:20:47.071,0.005,TCP  ,  192.168.255.14,    192.168.32.2,38862.000,4.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,38400.000,200.000,24.000,0.000,4.567,0.000
2021-11-18 15:20:47.166,2021-11-18 15:20:47.194,0.028,TCP  ,  192.168.255.14,    192.168.32.2,38862.000,3825.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,6857.000,35.000,24.000,0.000,27.937,0.000
2021-11-18 15:20:47.391,2021-11-18 15:20:47.395,0.004,TCP  ,  192.168.255.14,    192.168.32.2,38862.000,8400.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,48000.000,250.000,24.000,0.000,3.727,0.000
2021-11-18 15:20:47.487,2021-11-18 15:20:47.506,0.019,TCP  ,  192.168.255.14,    192.168.32.2,38862.000,8088.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10105.000,52.000,24.000,0.000,19.685,0.000
2021-11-18 15:20:47.698,2021-11-18 15:20:47.702,0.004,TCP  ,  192.168.255.14,    192.168.32.2,38862.000,3851.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,48000.000,250.000,24.000,0.000,3.772,0.000
2021-11-18 15:20:47.903,2021-11-18 15:20:47.907,0.004,TCP  ,    192.168.32.2,  192.168.255.14,39376.000,38862.000,0.000,0.000,1.000,1.000,20.000,24.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,40000.000,250.000,20.000,0.000,4.421,0.000
2021-11-18 15:20:47.967,2021-11-18 15:20:47.971,0.004,TCP  ,    192.168.32.2,  192.168.255.14,39376.000,38863.000,0.000,0.000,1.000,1.000,20.000,24.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,40000.000,250.000,20.000,0.000,4.368,0.000
2021-11-18 15:20:48.211,2021-11-18 15:20:48.213,0.002,TCP  ,  192.168.255.14,    192.168.32.2,38862.000,5581.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,96000.000,500.000,24.000,0.000,2.780,0.000
2021-11-18 15:20:48.288,2021-11-18 15:20:48.295,0.007,TCP  ,  192.168.255.14,    192.168.32.2,38862.000,4375.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,27428.000,142.000,24.000,0.000,6.822,0.000
2021-11-18 15:20:48.517,2021-11-18 15:20:48.519,0.002,TCP  ,  192.168.255.14,    192.168.32.2,38862.000,1556.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,96000.000,500.000,24.000,0.000,2.282,0.000
