ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-18 16:00:42.172,2021-11-18 16:03:11.300,149.128,UDP  ,    192.168.32.3,    165.22.94.18,22226.000,12386.000,0.000,0.000,1894.000,758.000,1700000.000,10914.000,........,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,  I,91559.000,12.000,901.000,0.000,0.000,0.000
2021-11-18 16:00:42.729,2021-11-18 16:00:42.795,0.066,TCP  ,  192.168.255.14,    192.168.32.3,53792.000,554.000,0.000,0.000,2.000,1.000,64.000,32.000,...A...F,17,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,  I,7757.000,30.000,32.000,14.900,51.068,0.000
2021-11-18 16:00:44.256,2021-11-18 16:00:44.281,0.025,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51426.000,0.000,0.000,1.000,2.000,32.000,64.000,...A...F,17,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,  I,10240.000,40.000,32.000,14.750,10.055,0.000
2021-11-18 16:00:44.256,2021-11-18 16:00:44.786,0.530,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51430.000,0.000,0.000,4.000,4.000,136.000,180.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,2052.000,7.000,34.000,14.799,9.972,3.140
2021-11-18 16:00:44.782,2021-11-18 16:00:49.828,5.046,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51432.000,0.000,0.000,3.000,5.000,104.000,200.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,164.000,0.000,34.000,14.560,6.095,5.786
2021-11-18 16:00:49.810,2021-11-18 16:00:54.854,5.044,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51434.000,0.000,0.000,3.000,5.000,104.000,182.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,164.000,0.000,34.000,14.870,3.356,3.682
2021-11-18 16:00:54.833,2021-11-18 16:01:00.365,5.532,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51442.000,0.000,0.000,4.000,4.000,136.000,142.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,196.000,0.000,34.000,14.765,5.977,3.511
2021-11-18 16:00:57.390,2021-11-18 16:02:47.609,110.219,UDP  ,         0.0.0.0, 255.255.255.255,68.000,67.000,0.000,0.000,9.000,0.000,2740.000,0.000,........,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,  I,198.000,0.000,304.000,0.000,0.000,0.000
2021-11-18 16:01:00.361,2021-11-18 16:01:00.847,0.486,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51444.000,0.000,0.000,3.000,3.000,104.000,192.000,...APRS.,30,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,  I,1711.000,6.000,34.000,14.618,7.227,3.101
2021-11-18 16:01:01.048,2021-11-18 16:01:01.350,0.302,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51446.000,0.000,0.000,3.000,3.000,104.000,214.000,...APRS.,30,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,  I,2754.000,9.000,34.000,28.598,2.452,3.320
2021-11-18 16:01:01.396,2021-11-18 16:01:01.858,0.462,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51448.000,0.000,0.000,3.000,3.000,104.000,221.000,...APRS.,30,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,  I,1800.000,6.000,34.000,71.587,5.048,6.595
2021-11-18 16:01:01.942,2021-11-18 16:01:02.360,0.418,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51450.000,0.000,0.000,3.000,3.000,104.000,272.000,...APRS.,30,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,  I,1990.000,7.000,34.000,12.620,2.218,3.192
2021-11-18 16:01:02.484,2021-11-18 16:01:07.527,5.043,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51452.000,0.000,0.000,3.000,5.000,104.000,180.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,164.000,0.000,34.000,129.666,4.416,2.850
2021-11-18 16:01:07.508,2021-11-18 16:01:08.018,0.510,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51454.000,0.000,0.000,3.000,3.000,104.000,157.000,...APRS.,30,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,  I,1631.000,5.000,34.000,13.102,4.972,6.927
2021-11-18 16:01:08.032,2021-11-18 16:01:13.096,5.064,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51456.000,0.000,0.000,3.000,5.000,104.000,177.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,164.000,0.000,34.000,13.304,8.809,7.440
2021-11-18 16:01:13.069,2021-11-18 16:01:13.578,0.509,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51458.000,0.000,0.000,3.000,3.000,104.000,155.000,...APRS.,30,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,  I,1634.000,5.000,34.000,15.038,12.602,3.720
2021-11-18 16:01:13.594,2021-11-18 16:01:18.693,5.099,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51460.000,0.000,0.000,3.000,5.000,104.000,182.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,163.000,0.000,34.000,14.845,2.665,3.331
2021-11-18 16:01:18.672,2021-11-18 16:01:19.180,0.508,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51462.000,0.000,0.000,3.000,3.000,104.000,327.000,...APRS.,30,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,  I,1637.000,5.000,34.000,15.234,6.485,3.729
2021-11-18 16:01:19.195,2021-11-18 16:01:24.252,5.057,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51464.000,0.000,0.000,3.000,5.000,104.000,184.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,164.000,0.000,34.000,15.094,3.799,14.558
2021-11-18 16:01:24.234,2021-11-18 16:01:29.339,5.105,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51466.000,0.000,0.000,3.000,5.000,104.000,179.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,162.000,0.000,34.000,14.864,2.770,6.652
2021-11-18 16:01:29.320,2021-11-18 16:01:34.458,5.138,TCP  ,    192.168.32.3,  192.168.255.14,65000.000,51468.000,0.000,0.000,3.000,5.000,104.000,191.000,...AP.SF,27,0.000,0.000,0.000,1.000,1.000,0.000,1.000,1.000,  I,161.000,0.000,34.000,15.306,3.335,4.313
