ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-23 11:39:53.149,2021-11-23 11:39:53.149,0.000,TCP  ,  192.168.255.14,    192.168.32.3,14017.000,80.000,0.000,0.000,1.000,0.000,20.000,0.000,.....R..,4,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,0.000,0.000,20.000,0.000,0.000,0.000
2021-11-23 11:39:53.149,2021-11-23 11:39:53.156,0.007,TCP  ,    192.168.32.3,  192.168.255.14,8080.000,25337.000,0.000,0.000,1.000,1.000,20.000,1117.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,22857.000,142.000,20.000,0.000,6.607,0.000
2021-11-23 11:39:53.149,2021-11-23 11:39:53.156,0.007,TCP  ,  192.168.255.14,    192.168.32.3,19024.000,443.000,0.000,0.000,1.000,1.000,1117.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,1300000.000,142.000,1117.000,0.000,6.293,0.000
2021-11-23 11:39:53.150,2021-11-23 11:39:53.150,0.000,TCP  ,  192.168.255.14,    192.168.32.3,56701.000,80.000,0.000,0.000,1.000,0.000,20.000,0.000,.....R..,4,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,0.000,0.000,20.000,0.000,0.000,0.000
2021-11-23 11:39:53.150,2021-11-23 11:39:53.178,0.028,TCP  ,  192.168.255.14,    192.168.32.3,45544.000,80.000,0.000,0.000,2.000,1.000,1137.000,24.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,324857.000,71.000,568.000,21.904,6.210,0.000
2021-11-23 11:39:53.150,2021-11-23 11:39:53.156,0.006,TCP  ,  192.168.255.14,    192.168.32.3,28406.000,88.000,0.000,0.000,1.000,1.000,1117.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,1500000.000,166.000,1117.000,0.000,5.959,0.000
2021-11-23 11:39:53.150,2021-11-23 11:39:53.156,0.006,TCP  ,    192.168.32.3,  192.168.255.14,8080.000,18250.000,0.000,0.000,1.000,1.000,20.000,1117.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,26666.000,166.000,20.000,0.000,5.407,0.000
2021-11-23 11:39:53.150,2021-11-23 11:39:53.156,0.006,TCP  ,  192.168.255.14,    192.168.32.3,64724.000,443.000,0.000,0.000,1.000,1.000,1117.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,1500000.000,166.000,1117.000,0.000,5.643,0.000
2021-11-23 11:39:53.150,2021-11-23 11:39:53.156,0.006,TCP  ,  192.168.255.14,    192.168.32.3,48710.000,8080.000,0.000,0.000,1.000,1.000,1117.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,1500000.000,166.000,1117.000,0.000,5.900,0.000
2021-11-23 11:39:53.150,2021-11-23 11:39:53.150,0.000,TCP  ,  192.168.255.14,    192.168.32.3,54694.000,80.000,0.000,0.000,1.000,0.000,20.000,0.000,.....R..,4,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,0.000,0.000,20.000,0.000,0.000,0.000
