ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-23 10:44:22.660,2021-11-23 10:46:31.910,129.250,UDP  ,         0.0.0.0, 255.255.255.255,68.000,67.000,0.000,0.000,9.000,0.000,2724.000,0.000,........,0,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,168.000,0.000,302.000,0.000,0.000,0.000
2021-11-23 10:44:29.864,2021-11-23 10:44:29.864,0.000,UDP  ,    192.168.32.3, 255.255.255.255,11499.000,32106.000,0.000,0.000,1.000,0.000,84.000,0.000,........,0,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,0.000,0.000,84.000,0.000,0.000,0.000
2021-11-23 10:45:00.571,2021-11-23 10:45:00.590,0.019,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,3306.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,10105.000,52.000,24.000,0.000,19.009,0.000
2021-11-23 10:45:00.571,2021-11-23 10:45:00.590,0.019,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,995.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10105.000,52.000,24.000,0.000,18.379,0.000
2021-11-23 10:45:00.571,2021-11-23 10:45:00.607,0.036,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,80.000,0.000,0.000,2.000,1.000,44.000,24.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,9777.000,55.000,22.000,16.270,19.024,0.000
2021-11-23 10:45:00.571,2021-11-23 10:45:00.590,0.019,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,256.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10105.000,52.000,24.000,0.000,19.031,0.000
2021-11-23 10:45:00.571,2021-11-23 10:45:00.590,0.019,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,110.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10105.000,52.000,24.000,0.000,18.994,0.000
2021-11-23 10:45:00.571,2021-11-23 10:45:00.583,0.012,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,1723.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,16000.000,83.000,24.000,0.000,11.672,0.000
2021-11-23 10:45:00.572,2021-11-23 10:45:00.593,0.021,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,143.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,9142.000,47.000,24.000,0.000,21.315,0.000
2021-11-23 10:45:00.572,2021-11-23 10:45:00.590,0.018,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,113.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10666.000,55.000,24.000,0.000,18.723,0.000
2021-11-23 10:45:00.572,2021-11-23 10:45:00.607,0.035,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,554.000,0.000,0.000,2.000,1.000,44.000,24.000,...A.RS.,22,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,10057.000,57.000,22.000,16.236,18.780,0.000
2021-11-23 10:45:00.572,2021-11-23 10:45:00.590,0.018,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,5900.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10666.000,55.000,24.000,0.000,18.705,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.762,0.013,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,993.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,14769.000,76.000,24.000,0.000,12.719,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.762,0.013,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,445.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,14769.000,76.000,24.000,0.000,12.606,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.762,0.013,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,53.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,14769.000,76.000,24.000,0.000,12.621,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.762,0.013,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,3389.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,14769.000,76.000,24.000,0.000,12.657,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.757,0.008,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,1720.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,24000.000,125.000,24.000,0.000,7.886,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.757,0.008,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,135.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,24000.000,125.000,24.000,0.000,7.902,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.757,0.008,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,8888.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,24000.000,125.000,24.000,0.000,7.973,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.762,0.013,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,139.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,14769.000,76.000,24.000,0.000,12.691,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.761,0.012,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,8080.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,16000.000,83.000,24.000,0.000,11.774,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.757,0.008,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,1025.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,24000.000,125.000,24.000,0.000,7.922,0.000
2021-11-23 10:45:00.749,2021-11-23 10:45:00.757,0.008,TCP  ,  192.168.255.14,    192.168.32.3,38903.000,199.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,24000.000,125.000,24.000,0.000,7.872,0.000
