ts,te,td,pr,sa,da,sp,dp,sas,pas,ipkt,opkt,ibyt,obyt,flg,flgs_int,flg_cwr,flg_ece,flg_urg,flg_ack,flg_psh,flg_rst,flg_syn,flg_fin,dir,bps,pps,bpp,cl,sl,al
2021-11-23 13:14:15.985,2021-11-23 13:14:15.993,0.008,TCP  ,  192.168.255.14,    192.168.32.3,63759.000,706.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,24000.000,125.000,24.000,0.000,7.550,0.000
2021-11-23 13:14:16.306,2021-11-23 13:14:16.314,0.008,TCP  ,  192.168.255.14,    192.168.32.3,63759.000,953.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,24000.000,125.000,24.000,0.000,8.011,0.000
2021-11-23 13:14:16.629,2021-11-23 13:14:16.631,0.002,TCP  ,  192.168.255.14,    192.168.32.3,63759.000,103.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,96000.000,500.000,24.000,0.000,2.561,0.000
2021-11-23 13:14:16.947,2021-11-23 13:14:16.950,0.003,TCP  ,  192.168.255.14,    192.168.32.3,63759.000,13723.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,64000.000,333.000,24.000,0.000,2.467,0.000
2021-11-23 13:14:17.267,2021-11-23 13:14:17.274,0.007,TCP  ,  192.168.255.14,    192.168.32.3,63759.000,2161.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,27428.000,142.000,24.000,0.000,6.779,0.000
2021-11-23 13:14:17.588,2021-11-23 13:14:17.593,0.005,TCP  ,    192.168.32.3,  192.168.255.14,55183.000,63759.000,0.000,0.000,1.000,1.000,20.000,24.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,32000.000,200.000,20.000,0.000,4.673,0.000
2021-11-23 13:14:17.909,2021-11-23 13:14:17.911,0.002,TCP  ,  192.168.255.14,    192.168.32.3,63759.000,5520.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,96000.000,500.000,24.000,0.000,2.034,0.000
2021-11-23 13:14:18.229,2021-11-23 13:14:18.231,0.002,TCP  ,  192.168.255.14,    192.168.32.3,63759.000,1135.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,96000.000,500.000,24.000,0.000,2.372,0.000
2021-11-23 13:14:18.708,2021-11-23 13:14:18.780,0.072,TCP  ,  192.168.255.14,    192.168.32.3,57022.000,80.000,0.000,0.000,5.000,5.000,342.000,482.000,...AP.SF,27,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,38000.000,69.000,68.000,15.203,4.426,11.448
2021-11-23 13:14:18.709,2021-11-23 13:14:18.762,0.053,TCP  ,  192.168.255.14,    192.168.32.3,57026.000,80.000,0.000,0.000,5.000,5.000,186.000,476.000,...AP.SF,27,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,28075.000,94.000,37.000,14.183,5.277,10.763
2021-11-23 13:14:18.709,2021-11-23 13:14:18.799,0.090,TCP  ,  192.168.255.14,    192.168.32.3,57024.000,80.000,0.000,0.000,5.000,5.000,186.000,476.000,...AP.SF,27,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,16533.000,55.000,37.000,15.287,3.644,11.364
2021-11-23 13:14:18.710,2021-11-23 13:14:18.762,0.052,TCP  ,  192.168.255.14,    192.168.32.3,57028.000,80.000,0.000,0.000,5.000,5.000,193.000,470.000,...AP.SF,27,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,29692.000,96.000,38.000,14.249,4.243,10.697
2021-11-23 13:14:18.710,2021-11-23 13:14:18.780,0.070,TCP  ,  192.168.255.14,    192.168.32.3,57030.000,80.000,0.000,0.000,5.000,5.000,784.000,469.000,...AP.SF,27,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,89599.000,71.000,156.000,15.913,5.889,7.319
2021-11-23 13:14:18.755,2021-11-23 13:14:18.799,0.044,TCP  ,  192.168.255.14,    192.168.32.3,57032.000,80.000,0.000,0.000,5.000,5.000,206.000,476.000,...AP.SF,27,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,37454.000,113.000,41.000,15.000,5.184,4.399
2021-11-23 13:14:18.775,2021-11-23 13:14:18.830,0.055,TCP  ,  192.168.255.14,    192.168.32.3,57034.000,80.000,0.000,0.000,5.000,5.000,323.000,463.000,...AP.SF,27,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,46981.000,90.000,64.000,14.503,4.233,5.044
2021-11-23 13:14:18.832,2021-11-23 13:14:19.025,0.193,TCP  ,    192.168.32.3,  192.168.255.14,554.000,429.000,0.000,0.000,4.000,6.000,235.000,244.000,...AP.SF,27,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,  I,9740.000,20.000,58.000,16.616,12.190,4.552
2021-11-23 13:14:19.643,2021-11-23 13:14:19.661,0.018,TCP  ,  192.168.255.14,    192.168.32.3,63193.000,21.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10666.000,55.000,24.000,0.000,17.853,0.000
2021-11-23 13:14:19.643,2021-11-23 13:14:19.646,0.003,TCP  ,  192.168.255.14,    192.168.32.3,63193.000,110.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,64000.000,333.000,24.000,0.000,3.016,0.000
2021-11-23 13:14:19.644,2021-11-23 13:14:19.661,0.017,TCP  ,  192.168.255.14,    192.168.32.3,63193.000,3306.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,11294.000,58.000,24.000,0.000,17.840,0.000
2021-11-23 13:14:19.644,2021-11-23 13:14:19.677,0.033,TCP  ,  192.168.255.14,    192.168.32.3,63193.000,80.000,0.000,0.000,2.000,1.000,44.000,24.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,10666.000,60.000,22.000,15.682,17.640,0.000
2021-11-23 13:14:19.644,2021-11-23 13:14:19.661,0.017,TCP  ,  192.168.255.14,    192.168.32.3,63193.000,5900.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,11294.000,58.000,24.000,0.000,17.829,0.000
2021-11-23 13:14:19.644,2021-11-23 13:14:19.661,0.017,TCP  ,  192.168.255.14,    192.168.32.3,63193.000,8080.000,0.000,0.000,1.000,1.000,24.000,20.000,...A.RS.,22,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,  I,11294.000,58.000,24.000,0.000,17.592,0.000
